"Time","device_frmpayload_data_rainfall.mean"
2023-08-23 15:52:40,
2023-08-23 15:53:00,0
2023-08-23 15:53:20,
2023-08-23 15:53:40,
2023-08-23 15:54:00,0
2023-08-23 15:54:20,
2023-08-23 15:54:40,
2023-08-23 15:55:00,0
2023-08-23 15:55:20,
2023-08-23 15:55:40,
2023-08-23 15:56:00,0
2023-08-23 15:56:20,
2023-08-23 15:56:40,
2023-08-23 15:57:00,0
2023-08-23 15:57:20,
2023-08-23 15:57:40,
2023-08-23 15:58:00,0
2023-08-23 15:58:20,
2023-08-23 15:58:40,
2023-08-23 15:59:00,0.600
2023-08-23 15:59:20,
2023-08-23 15:59:40,
2023-08-23 16:00:00,1
2023-08-23 16:00:20,
2023-08-23 16:00:40,
2023-08-23 16:01:00,0
2023-08-23 16:01:20,
2023-08-23 16:01:40,
2023-08-23 16:02:00,0
2023-08-23 16:02:20,
2023-08-23 16:02:40,
2023-08-23 16:03:00,0
2023-08-23 16:03:20,
2023-08-23 16:03:40,
2023-08-23 16:04:00,0
2023-08-23 16:04:20,
2023-08-23 16:04:40,
2023-08-23 16:05:00,0
2023-08-23 16:05:20,
2023-08-23 16:05:40,
2023-08-23 16:06:00,0
2023-08-23 16:06:20,
2023-08-23 16:06:40,
2023-08-23 16:07:00,0
2023-08-23 16:07:20,
2023-08-23 16:07:40,
2023-08-23 16:08:00,0
2023-08-23 16:08:20,
2023-08-23 16:08:40,
2023-08-23 16:09:00,0
2023-08-23 16:09:20,
2023-08-23 16:09:40,
2023-08-23 16:10:00,0
2023-08-23 16:10:20,
2023-08-23 16:10:40,
2023-08-23 16:11:00,0
2023-08-23 16:11:20,
2023-08-23 16:11:40,
2023-08-23 16:12:00,0
2023-08-23 16:12:20,
2023-08-23 16:12:40,
2023-08-23 16:13:00,0
2023-08-23 16:13:20,
2023-08-23 16:13:40,
2023-08-23 16:14:00,0
2023-08-23 16:14:20,
2023-08-23 16:14:40,
2023-08-23 16:15:00,0
2023-08-23 16:15:20,
2023-08-23 16:15:40,
2023-08-23 16:16:00,0
2023-08-23 16:16:20,
2023-08-23 16:16:40,
2023-08-23 16:17:00,0
2023-08-23 16:17:20,
2023-08-23 16:17:40,
2023-08-23 16:18:00,0
2023-08-23 16:18:20,
2023-08-23 16:18:40,
2023-08-23 16:19:00,0
2023-08-23 16:19:20,
2023-08-23 16:19:40,
2023-08-23 16:20:00,0
2023-08-23 16:20:20,
2023-08-23 16:20:40,
2023-08-23 16:21:00,0
2023-08-23 16:21:20,
2023-08-23 16:21:40,
2023-08-23 16:22:00,0
2023-08-23 16:22:20,
2023-08-23 16:22:40,
2023-08-23 16:23:00,0
2023-08-23 16:23:20,
2023-08-23 16:23:40,
2023-08-23 16:24:00,0
2023-08-23 16:24:20,
2023-08-23 16:24:40,
2023-08-23 16:25:00,0
2023-08-23 16:25:20,
2023-08-23 16:25:40,
2023-08-23 16:26:00,0
2023-08-23 16:26:20,
2023-08-23 16:26:40,
2023-08-23 16:27:00,0
2023-08-23 16:27:20,
2023-08-23 16:27:40,

